what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533368107
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533368520
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533371541
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1379533373128
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533373142
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1379533373154
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533373415
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533374749
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533379738
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533385104
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1379533385118
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533385379
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533386217
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379533395188
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1379533395382
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1379533395421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533396681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533398115
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379533458632
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1379533472535
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533472797
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1379533478038
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1379533478886
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1379533481420
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1379533481649
